Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes.",8,Weight in kilograms,653433,,,,653433,,8422813,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,66828000,,,,66828,,197429,,,0
H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,156000,,,,156,,783,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,93757000,,,,93757,,1325013,,,0
H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,776532,,,,777,,11024,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,300049792,,,,300050,,3146196,,,0
H1,1997,1997,1997,4,0,1,Import,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,152905,,,,153,,813,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,52976000,,,,52976,,552311,,,0
H1,1997,1997,1997,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,2016999,,,,2017,,20084,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,273443648,,,,273444,,3035113,,,0
H1,1998,1998,1998,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,37357152,,,,37357,,236749,,,0
H1,1998,1998,1998,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cigarettes etc, tobacco or tobacco substitute",5,Number of items,488142688,,,,488143,,5279310,,,0
